Length	Lowest Frequency	Highest Frequency	Average Frequency	Frequency Band	Impulse Count
0.3	6075.19	6075.19	6075.19	0.0	1.0
4.4	5936.09	6078.95	5974.58	142.86	19.0
2.7	5936.09	6075.19	5965.98	139.1	10.0
1.8	5936.09	6003.76	5964.29	67.67	5.0
2.6	5936.09	6075.19	5997.58	139.1	7.0
3.5	5936.09	6075.19	5966.7	139.1	7.0
4.0	5936.09	6078.95	5975.39	142.86	11.0
3.4	5936.09	6075.19	5957.02	139.1	15.0
2.3	5939.85	6078.95	5988.19	139.1	14.0
6.1	5936.09	6075.19	5958.38	139.1	14.0
6.0	5936.09	6078.95	5965.98	142.86	20.0
3.5	5936.09	6075.19	5979.95	139.1	15.0
1.3	5936.09	6078.95	5977.98	142.86	7.0
0.5	5939.85	5939.85	5939.85	0.0	1.0
1.4	5939.85	6075.19	6006.58	135.34	8.0
0.4	6071.43	5947.37	6008.15	124.06	3.0
2.2	5939.85	6075.19	5984.34	135.34	9.0
3.0	5936.09	6078.95	5975.74	142.86	11.0
2.0	5936.09	6075.19	5972.27	139.1	8.0
3.8	7894.74	8033.83	7951.95	139.09	23.0
2.0	6353.38	6424.81	6367.48	71.43	6.0
5.7	6353.38	6428.57	6381.02	75.19	17.0
1.9	6357.14	6428.57	6374.06	71.43	4.0
0.5	5936.09	6078.95	6006.58	142.86	4.0
0.4	5939.85	6075.19	6006.27	135.34	3.0
0.7	5936.09	6075.19	6006.02	139.1	5.0
1.6	5936.09	6075.19	5972.43	139.1	6.0
0.4	6003.76	6075.19	6039.48	71.43	2.0
1.0	5936.09	6007.52	5972.27	71.43	4.0
1.3	5729.32	6007.52	5860.9	278.2	7.0
0.2	6075.19	6214.28	6122.18	139.09	3.0
0.3	6003.76	6142.86	6073.94	139.1	3.0
0.3	5936.09	6214.28	6066.1	278.19	6.0
1.7	5954.89	6142.86	6075.94	187.97	10.0
0.3	5936.09	6007.52	5973.69	71.43	2.0
0.1	8394.74	8522.56	8487.78	127.82	2.0
6.9	8240.6	8451.13	8332.71	210.53	8.0
6.9	8169.17	8447.37	8334.59	278.2	13.0
5.2	7263.16	8432.33	7674.12	1169.17	57.0
2.6	8097.74	8507.52	8233.01	409.78	27.0
6.9	8379.7	8526.31	8416.26	146.61	20.0
6.9	8030.07	8312.03	8123.33	281.96	13.0
6.9	8097.74	8323.31	8122.18	225.57	23.0
5.9	8109.02	8522.56	8253.91	413.54	25.0
0.1	8507.52	8390.98	8434.21	116.54	2.0
6.9	8169.17	8451.13	8362.66	281.96	31.0
6.9	8026.31	8522.56	8399.12	496.25	6.0
6.9	8109.02	8439.85	8211.28	330.83	60.0
6.0	8105.26	8443.61	8334.7	338.35	16.0
6.7	8109.02	8522.56	8426.78	413.54	21.0
6.1	8101.5	8454.89	8186.54	353.39	21.0
4.5	8101.5	8244.36	8181.18	142.86	36.0
0.4	6567.67	6631.58	6553.26	63.91	3.0
1.1	6357.14	6631.58	6513.69	274.44	7.0
0.8	4169.17	6496.24	5863.25	2327.07	4.0
0.9	6357.14	6631.58	6436.72	274.44	6.0
0.5	6492.48	6496.24	6496.24	3.76	4.0
0.8	6428.57	6492.48	6476.5	63.91	4.0
0.9	6488.72	6631.58	6512.62	142.86	7.0
0.8	6357.14	6627.82	6472.43	270.68	3.0
1.0	6357.14	6631.58	6477.91	274.44	8.0
0.9	3909.77	6627.82	5224.93	2718.05	6.0
0.1	6428.57	6428.57	6428.57	0.0	1.0
0.5	6492.48	6503.76	6540.73	11.28	3.0
0.8	6357.14	6503.76	6512.69	146.62	4.0
1.3	6372.18	6556.39	6484.16	184.21	7.0
1.0	6375.94	6627.82	6524.17	251.88	7.0
0.5	6417.29	6552.63	6471.8	135.34	4.0
0.2	6428.57	6428.57	6424.81	0.0	2.0
1.0	6492.48	6631.58	6539.79	139.1	6.0
1.3	6357.14	6631.58	6494.99	274.44	6.0
0.2	6496.24	6496.24	6511.28	0.0	2.0
1.0	6357.14	6631.58	6516.92	274.44	6.0
0.5	6357.14	6496.24	6448.62	139.1	3.0
1.3	6357.14	6631.58	6505.95	274.44	6.0
5.2	8203.01	8451.13	8379.37	248.12	17.0
5.2	8030.07	8511.28	8376.24	481.21	62.0
5.2	8101.5	8312.03	8206.76	210.53	2.0
6.9	8018.8	8522.56	8290.47	503.76	17.0
6.9	8172.93	8451.13	8355.64	278.2	25.0
6.9	8240.6	8451.13	8319.55	210.53	4.0
6.9	7755.64	8451.13	8151.71	695.49	31.0
6.6	8229.32	8518.8	8439.54	289.48	12.0
6.9	8112.78	8522.56	8334.25	409.78	61.0
6.9	7819.55	8522.56	8284.35	703.01	58.0
6.9	8345.86	8451.13	8424.81	105.27	4.0
6.9	7394.74	8642.86	8283.59	1248.12	31.0
0.8	8334.59	8477.44	8388.83	142.85	7.0
6.9	8379.7	8597.74	8509.46	218.04	58.0
6.9	8308.27	8522.56	8408.41	214.29	11.0
0.8	8289.47	8500.0	8237.97	210.53	20.0
6.9	8176.69	8417.29	8351.57	240.6	30.0
6.9	8308.27	8522.56	8364.08	214.29	13.0
6.9	7890.98	8665.41	8382.66	774.43	40.0
6.9	8379.7	8522.56	8451.13	142.86	5.0
6.9	8308.27	8522.56	8382.92	214.29	14.0
2.6	8383.46	8515.04	8473.5	131.58	20.0
3.0	2078.95	2932.33	2501.5	853.38	10.0
4.1	1394.74	2932.33	2073.11	1537.59	19.0
0.8	2233.08	2804.51	2631.58	571.43	6.0
3.1	1466.17	2304.51	1969.61	838.34	12.0
3.2	2101.5	3000.0	2480.83	898.5	10.0
6.0	1327.07	2939.85	2141.3	1612.78	29.0
3.2	1327.07	2484.96	2081.95	1157.89	15.0
5.1	1605.26	2515.04	2145.68	909.78	8.0
4.7	1259.4	3142.86	2334.65	1883.46	29.0
4.7	1259.4	3142.86	2334.65	1883.46	29.0
4.0	2161.65	2947.37	2611.93	785.72	11.0
6.9	8281.95	8522.56	8443.75	240.61	41.0
6.9	8248.12	8593.98	8406.92	345.86	60.0
3.4	2093.98	3026.32	2625.94	932.34	10.0
1.0	5518.8	8390.98	6984.97	2872.18	2.0
4.9	8507.52	8518.8	8460.06	11.28	8.0
5.0	1954.89	8394.74	6291.98	6439.85	9.0
6.6	8300.75	8439.85	8390.44	139.1	21.0
6.1	2090.23	8518.8	8002.73	6428.57	31.0
6.7	2093.98	8492.48	8126.98	6398.5	47.0
6.1	2086.47	8375.94	7816.47	6289.47	11.0
6.1	8436.09	8319.55	8389.8	116.54	8.0
6.8	8048.87	8515.04	8338.55	466.17	28.0
1.6	8312.03	8447.37	8359.96	135.34	4.0
3.8	8518.8	8518.8	8484.97	0.0	2.0
0.1	8511.28	8383.46	8413.53	127.82	3.0
6.6	8244.36	8518.8	8356.07	274.44	14.0
6.0	8447.37	8563.91	8486.84	116.54	5.0
5.5	8244.36	8578.95	8418.7	334.59	12.0
2.0	8296.99	8379.7	8311.4	82.71	3.0
4.1	8255.64	8590.22	8401.88	334.58	10.0
6.5	8022.56	8661.65	8386.51	639.09	16.0
2.9	8368.42	8507.52	8377.82	139.1	2.0
0.9	8398.5	8518.8	8438.91	120.3	2.0
6.4	4045.11	8394.74	7663.67	4349.63	14.0
5.0	8323.31	8398.5	8369.74	75.19	10.0
1.9	8436.09	8518.8	8447.37	82.71	2.0
2.3	8443.61	8394.74	8406.02	48.87	3.0
6.0	8368.42	8383.46	8366.03	15.04	11.0
5.8	8248.12	8590.22	8365.08	342.1	18.0
5.4	7894.74	8515.04	8385.1	620.3	8.0
0.1	8436.09	8578.95	8447.37	142.86	2.0
0.1	8379.7	8379.7	8379.7	0.0	1.0
3.7	8248.12	8515.04	8367.75	266.92	14.0
4.3	7612.78	8387.22	7888.22	774.44	15.0
1.6	8233.08	8383.46	8329.88	150.38	4.0
6.4	8312.03	8522.56	8429.42	210.53	40.0
0.1	1812.03	1812.03	1813.91	0.0	2.0
0.8	4887.22	4958.65	4912.28	71.43	3.0
0.3	4537.59	4676.69	4607.14	139.1	2.0
1.0	4469.92	5097.74	4725.56	627.82	3.0
1.2	4819.55	5097.74	4958.65	278.19	2.0
2.9	4469.92	5097.74	4796.36	627.82	6.0
3.0	4469.92	4883.46	4776.69	413.54	10.0
0.8	4676.69	5101.5	4958.64	424.81	4.0
6.0	8109.02	8518.8	8334.59	409.78	7.0
6.2	5097.74	8518.8	8155.75	3421.06	14.0
6.0	8240.6	8518.8	8356.67	278.2	4.0
0.8	4541.35	8518.8	5674.81	3977.45	4.0
0.0	8518.8	8387.22	8453.01	131.58	1.0
0.9	4612.78	5101.5	4944.74	488.72	5.0
1.6	8507.52	8394.74	8426.69	112.78	4.0
0.2	2304.51	2507.52	2362.16	203.01	3.0
0.6	3214.29	3349.62	3283.83	135.33	3.0
0.4	3488.72	4827.07	4399.44	1338.35	4.0
0.2	2165.41	2165.41	2165.41	0.0	5.0
6.8	8312.03	8503.76	8434.01	191.73	38.0
0.4	2657.89	2785.71	2723.21	127.82	4.0
1.5	1605.26	2778.2	2187.4	1172.94	10.0
0.5	2244.36	2770.68	2607.68	526.32	7.0
0.5	2578.95	2725.56	2617.67	146.61	5.0
0.3	2571.43	2721.8	2629.07	150.37	3.0
6.6	8383.46	8511.28	8452.63	127.82	25.0
2.9	8368.42	8394.74	8417.29	26.32	12.0
2.1	3150.38	8319.55	4667.56	5169.17	7.0
3.3	8443.61	8394.74	8433.46	48.87	5.0
0.4	2443.61	2511.28	2443.99	67.67	5.0
0.5	1887.22	2026.32	1976.51	139.1	6.0
0.0	8590.22	8451.13	8520.67	139.09	1.0
4.0	1255.64	8518.8	7800.92	7263.16	11.0
0.2	2657.89	2785.71	2723.05	127.82	3.0
0.1	2714.29	2654.13	2698.62	60.16	3.0
0.7	2443.61	2541.35	2509.19	97.74	9.0
0.7	2454.89	2496.24	2492.95	41.35	4.0
0.1	2500.0	2511.28	2464.91	11.28	3.0
0.5	2477.44	2500.0	2463.35	22.56	2.0
0.0	2372.18	2236.84	2302.63	135.34	2.0
0.1	1323.31	1199.25	1234.96	124.06	3.0
5.9	1187.97	8522.56	7843.25	7334.59	23.0
0.6	5026.32	5097.74	5073.93	71.42	3.0
0.7	4819.55	5097.74	4935.46	278.19	3.0
0.2	4819.55	4954.89	4887.22	135.34	2.0
3.1	6353.38	6428.57	6395.36	75.19	21.0
3.2	6353.38	6428.57	6379.07	75.19	12.0
0.9	4609.02	5097.74	4840.85	488.72	3.0
0.8	4819.55	5097.74	4934.84	278.19	6.0
1.1	4330.83	5026.32	4713.66	695.49	6.0
0.0	4605.26	4473.68	4539.47	131.58	1.0
0.3	4402.26	4609.02	4469.92	206.76	5.0
0.6	4330.83	4887.22	4581.2	556.39	5.0
0.3	5026.32	5026.32	5026.32	0.0	1.0
0.9	4672.93	5030.07	4871.71	357.14	4.0
0.1	4612.78	4609.02	4610.9	3.76	1.0
0.7	4887.22	5097.74	4958.02	210.52	3.0
0.8	4669.17	5030.07	4840.85	360.9	3.0
1.0	4402.26	5097.74	4748.12	695.48	2.0
1.1	4334.59	5101.5	4801.69	766.91	4.0
0.4	4469.92	4612.78	4563.91	142.86	3.0
0.8	5097.74	5097.74	5097.74	0.0	1.0
0.9	4815.79	5030.07	4917.83	214.28	7.0
1.1	4402.26	5101.5	4761.59	699.24	6.0
2.0	6424.81	6496.24	6452.54	71.43	8.0
0.7	6428.57	6496.24	6471.8	67.67	3.0
0.3	6428.57	6492.48	6460.52	63.91	2.0
0.5	6424.81	6428.57	6427.32	3.76	3.0
0.2	6428.57	6428.57	6428.57	0.0	1.0
0.9	6424.81	6492.48	6460.06	67.67	4.0
3.8	6353.38	6428.57	6390.5	75.19	8.0
4.5	6353.38	6428.57	6383.56	75.19	18.0
4.6	6357.14	6492.48	6384.21	135.34	15.0
1.7	6353.38	6428.57	6384.02	75.19	10.0
2.3	6353.38	6428.57	6362.97	75.19	10.0
4.6	6353.38	8578.95	7700.1	2225.57	11.0
0.3	6424.81	6424.81	6424.81	0.0	1.0
1.0	6424.81	6496.24	6465.63	71.43	7.0
3.2	6428.57	6492.48	6462.92	63.91	11.0
